Gene,Adipose-Subcutaneous,Adipose-Visceral,Adrenal_Gland,Artery-Aorta,Artery-Coronary,Artery-Tibial,Bladder,Brain-Amygdala,Brain-Anterior_cingulate_cortex,Brain-Caudate,Brain-Cerebellar_Hemisphere,Brain-Cerebellum,Brain-Cortex,Brain-Frontal_Cortex,Brain-Hippocampus,Brain-Hypothalamus,Brain-Nucleus_accumbens,Brain-Putamen,Brain-Spinal_cord,Brain-Substantia_nigra,Breast-Mammary Tissue,Cells-EBV.transformed_lymphocytes,Cells-Transformed,Colon-Sigmoid,Colon-Transverse,Esophagus-Gastroesophageal_Junction,Esophagus-Mucosa,Esophagus-Muscularis,Heart-Atrial_Appendage,Heart-Left_Ventricle,Kidney-Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle-Skeletal,Nerve-Tibial,Pancreas,Pituitary,Skin-Not_Sun_Exposed,Skin-Sun_Exposed,Small Intestine-Terminal Ileum,Spleen,Stomach,Thyroid,Whole_Blood
DDX3X_ENSG00000215301.5,0.155724889,0.175531687,0.199166079,0.178907355,0.157391955,0.18641,0,0,0,0.099683731,0,0.134182728,0,0,0,0,0,0,0,0,0.124344042,0.217193137,0.131535371,0.183221756,0,0.1596721,0.108504374,0.181165852,0.097404744,0.124027321,0.23465557,0.12438414,0.171173399,0,0.147778974,0.174738165,0.100489151,0.209924354,0.178681373,0.133956432,0.155158012,0.172169779,0.117858756,0.160109909,0
TBL1Y_ENSG00000092377.9,-0.218456529,-0.140586561,0,-0.048648031,-0.035719819,-0.012721626,-0.245371891,0,-0.009297529,-0.071171601,0,0,0,0,0,-0.031761363,-0.056006007,-0.062677798,0,0,-0.282430542,0,0,0,-0.035777308,-0.023384879,-0.182218425,-0.029475994,0,0,-0.250784945,-0.146967898,-0.080454026,-0.377624625,-0.142638961,-0.034794206,-0.20267502,-0.033615125,-0.099302155,-0.143544801,-0.022192121,0,-0.186923598,-0.994306733,0
CD99_ENSG00000002586.13,-0.125700494,-0.136942438,-0.169825376,-0.095802711,-0.200112271,-0.167392431,0,0,-0.114655578,-0.120412989,0,0,0,-0.076893217,0,0,-0.112540717,-0.099315766,0,-0.207164878,-0.271578146,-0.102358754,0,-0.194857841,-0.149789255,-0.126049105,-0.06186359,-0.142065079,-0.158970626,-0.089721812,0,0,-0.14610844,0,-0.074649571,-0.227552812,0,-0.199912418,0,-0.068519483,0,-0.126524951,0,-0.106310454,0
KDM5C_ENSG00000126012.7,0.143683413,0.14306703,0.202216598,0.133800811,0,0.146543646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227005154,0.282451936,0.207985157,0.175297107,0.181979051,0,0.19307886,0.151967176,0,0.11604967,0,0.175059077,0.163803058,0,0.117675521,0.17687442,0.114372014,0.226757076,0.159802711,0.189812456,0.213881401,0.191054455,0.162375447,0.226633564,0
EIF1AX_ENSG00000173674.6,0.175065973,0,0,0,0,0.181710375,0,0,0,0,0,0.123234049,0,0,0,0,0,0,0,0,0.134932547,0.232669716,0.203886021,0,0.133526976,0.175495528,0.137061718,0.138288255,0,0.185442011,0,0.142640165,0.134045237,0,0.229040555,0.188053392,0.133081199,0,0.18151551,0.16993234,0,0.165753714,0.146882873,0.119226144,0
KDM6A_ENSG00000147050.10,0.203290763,0,0,0.185810123,0,0.239145636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375699282,0.307199121,0.167192892,0.220139108,0,0,0.246956318,0.18689837,0,0.134117514,0,0.209822855,0.230756123,0,0.222497675,0.257303557,0.189186587,0.286342221,0.255469194,0.266069798,0,0.287316365,0.244361724,0.281260249,0
SRY_ENSG00000184895.6,-0.175965018,0,-0.276957259,-0.036430153,0,-0.046737715,0,0,-0.013900348,-0.082299944,0,0,0,0,-0.080803411,-0.142628815,-0.06886476,0,0,0,-0.087470621,0,-0.719471707,0,0,0,-0.365097549,0,0,0,0,0,-0.031024569,0,-0.016930227,-0.161023127,0,-0.158768082,-0.926787683,-0.991622067,0,-0.041286575,0,0,0
EIF2S3_ENSG00000130741.6,0.062488099,0,0,0.089294304,0.087837549,0.119931476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102952796,0.104727606,0.138252579,0.122826363,0,0.085118464,0,0.081757174,0,0.067527381,0,0,0.073918968,0,0.094497662,0.086161972,0,0,0.078406446,0.056071587,0,0.104389444,0,0.083393674,0
PCDH11Y_ENSG00000099715.10,0,0,0,-0.301487822,-0.081902414,-0.140969924,0,-0.807051668,-0.597307474,-0.240806349,0,0,-0.481875601,-0.583300064,-0.706791396,-0.976081199,-0.47438292,0,0,-0.354020895,-0.012717013,0,0,0,-0.048155282,0,0,0,0,0,0,0,0,0,0,-0.023674715,0,0,0,0,-0.103388084,0,-0.035770086,0,0
ZRSR2_ENSG00000169249.8,0.090032252,0,0,0.198922205,0,0.213656536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144548267,0.230675125,0.179620618,0,0,0,0,0,0,0,0,0,0,0,0.087117205,0.157852181,0,0,0.156039491,0.153468,0,0,0,0.176904937,0
CES1_ENSG00000198848.8,0.091218718,0,0,0,0,0.03514801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024486704,0,0.017181982,0,0,0,0.037419547,0.040756179,0,0,0,0,0,0,0,0,0,0,0.016874148,0.009843107,0,0,0,0.011494083,0
ZFX_ENSG00000005889.11,0,0,0,0,0,0.261469119,0,0,0,0,0,0.235997198,0,0,0,0,0,0,0,0,0.280759108,0,0.272297869,0,0,0,0,0,0,0.191790565,0,0,0,0,0.269363465,0.25268981,0,0,0.201577948,0.177216561,0,0,0,0,0
MMP3_ENSG00000149968.7,-0.247536172,0,0,0,0,-0.010335958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04560202,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052955121,-0.287051769,0,0,-0.012689487,-0.184621821,0,0,0,-0.004217634,0
SLC25A6_ENSG00000169100.8,0,0,0,0,0,0,0,0,-0.080703301,0,-0.068828086,-0.07606864,0,-0.075226133,0,0,0,0,0,0,0.025388957,0,0,0,0,0,0,-0.057275241,0,0,0,0,0,0,0,0,0,-0.084135866,0,0,0,0,0,-0.05885812,0
HDHD1_ENSG00000130021.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068756461,0.392864286,0.175265237,0,0,0,0.111545271,0,0,0.120774295,0,0,0.13617509,0,0.188630712,0,0,0,0,0,0,0,0.19398703,0,0
UBA1_ENSG00000130985.12,0,0,0,0.058817431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072912649,0.125791034,0.103267896,0,0,0,0.097649876,0,0,0.07082211,0,0,0,0,0.065683955,0.05940559,0,0,0,0,0,0,0,0,0
LTBP4_ENSG00000090006.13,-0.093115793,0,0,-0.131157273,0,-0.082061907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055717206,0,0,0,0,0,0,0,0,0,0,0,-0.120219927,0,0,0,0,0,0,0,0,0,0,-0.074205229,0
ZBED1_ENSG00000214717.5,-0.097889627,0,0,0,0,0,0,0,-0.101696604,0,0,-0.144261826,0,0,0,0,0,0,0,0,-0.096353226,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261127793,-0.118936968,0,0,0,0,0,0,0,0,0
PRKX_ENSG00000183943.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056047661,0.180439914,0,0,0,0,0.171387573,0,0,0,0,0,0,0,0,0.131215726,0,0,0,0.082776924,0,0,0,0.253402561,0.005605031
MAP7D2_ENSG00000184368.11,0,0,0,0.003477303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009037838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012128209,0.0095951,0,0,0,0,0,0.01018945,0,0,0
ARSD_ENSG00000006756.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161018781,0,0,0,0.247779287,0,0.11116999,0,0,0,0,0.255684241,0,0,0,0,0.195050857,0,0,0,0,0,0.324589288,0,0
ADH1B_ENSG00000196616.8,0,0,0,0,0,0.094584897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169798657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077827573,0.07103762,0,0,0,0.025881153,0
SAA1_ENSG00000173432.6,0.069693836,0.049543693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035228313,0,0,0,0,0,0,0,0.001058889,0,0,0,0,0,-0.011369082,0,0,0,0,0,0,0,0,0,0
CRYAB_ENSG00000109846.3,0.040598759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02207577,0,0,0,0,0,0,0,0,0.224172046,0,0,0,0,0.066962679,0,0,0,0,0.009550808,0,0,0,0,0
STS_ENSG00000101846.6,0.240769299,0,0,0.200780232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343921086,0,0,0,0,0,0,0,0,0,0,0,0,0.135552413,0,0,0,0,0.125668768,0,0,0,0,0
PNPLA4_ENSG00000006757.7,0,0,0.335631283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157848494,0,0,0,0,0,0.207181407,0,0,0,0,0.256131286,0,0,0,0,0,0,0,0.126822057,0,0,0,0,0
PLA2G2A_ENSG00000188257.6,0,0.19284895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104748332,0,0,0,0,0,0,0,0,0,0.042791678,0,0,0,0,0,0,0,0.089980294,0,0,0,0,0,0
DHCR24_ENSG00000116133.7,0,0.020982288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011254612,0,0,0,0,0,0,0,0,0.010324754,0,0,0,0,0.036656332,0,0,0,0,0,0,0,0,0,0
MYOC_ENSG00000034971.10,-0.100035484,-0.110017286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140407573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092846752,0
