,A-1,A-2
ADAMTS4,COL3A1,COL4A3
HMCN1,COL7A1,ESM1
CTSE,ADAMTS16,LGI3
VWA3B,COL10A1,
ADIPOQ,FNDC1,
SPP1,SMOC2,
FGA,CTHRC1,
FGG,COL14A1,
SERPINE1,COL15A1,
LAMC3,ADAMTS14,
DMBT1,HPSE2,
MMP12,COL17A1,
MFAP5,MMP7,
MMP9,MMP1,
,MMP13,
,COL1A1,
,SERPINB5,
,SERPINB3,
,COMP,
,SERPIND1,
,MMP11,
,MXRA5,
,,
,,
,,
