SAMPID,sample,percent,filter,a_o_b
GTEX-ZXES-2026-SM-5NQ6R,1,0.9614,,A
GTEX-ZXES-2026-SM-5NQ6R,2,0.9773,,A
GTEX-1IY9M-0226-SM-CMKHP,1,0.8408,,A
GTEX-1IY9M-0226-SM-CMKHP,2,0.8054,,A
GTEX-ZQG8-1026-SM-51MR9,1,0.9055,,B
GTEX-ZQG8-1026-SM-51MR9,2,0.9171,,B
GTEX-ZXES-0926-SM-5E43O,1,0.9663,,B
GTEX-ZXES-0926-SM-5E43O,2,0.9263,,B
GTEX-XQ3S-2426-SM-4WAYB,1,0.788,,A
GTEX-XQ3S-2426-SM-4WAYB,2,0.7572,,A
GTEX-XYKS-2726-SM-4E3IC,1,0.8017,,B
GTEX-XYKS-2726-SM-4E3IC,2,0.9122,,B
GTEX-1KANA-0826-SM-D3L9J,1,0.9505,,B
GTEX-1KANA-0826-SM-D3L9J,2,0.9676,,B
GTEX-Y9LG-1226-SM-4VBQA,1,0.8463,,B
GTEX-Y9LG-1226-SM-4VBQA,2,0.9097,,B
GTEX-ZTPG-0226-SM-5O99I,1,0.9406,,B
GTEX-ZTPG-0226-SM-5O99I,2,0.9259,,B
GTEX-1K2DA-2126-SM-CGQGL,1,0.9624,,A
GTEX-1K2DA-2126-SM-CGQGL,2,0.9677,,A
GTEX-XQ3S-1626-SM-4WAYN,1,0.9826,,B
GTEX-XQ3S-1626-SM-4WAYN,2,0.9724,,B
GTEX-145MI-0426-SM-5O99V,1,0.5483,,A
GTEX-145MI-0426-SM-5O99V,2,0.49,,A
GTEX-145MI-0826-SM-5SI95,1,0.9103,,B
GTEX-145MI-0826-SM-5SI95,2,0.8481,,B
GTEX-ZDTT-2626-SM-5S2OP,1,0.9651,,B
GTEX-ZDTT-2626-SM-5S2OP,2,0.977,,B
GTEX-13OVL-0826-SM-5L3GV,1,0.9159,,A
GTEX-13OVL-0826-SM-5L3GV,2,0.9382,,A
GTEX-1N2DW-0326-SM-E9TK3,1,0.7135,,B
GTEX-1N2DW-0326-SM-E9TK3,2,0.6067,,B
GTEX-1IY9M-1226-SM-ACKX1,1,0.9395,,B
GTEX-1IY9M-1226-SM-ACKX1,2,0.9124,,B
GTEX-1K2DA-1126-SM-CGQGG,1,0.8493,,B
GTEX-1K2DA-1126-SM-CGQGG,2,,,B
GTEX-11DXX-2026-SM-5EGJL,1,0.903,,B
GTEX-11DXX-2026-SM-5EGJL,2,0.8518,,B
GTEX-13OVL-0326-SM-5IJCS,1,0.7525,,B
GTEX-13OVL-0326-SM-5IJCS,2,0.8381,,B
