Protein ID,Gene ID,Gene name,Adrenal gland,Appendix,Brain,Colon,Duodenum,Endometrium,Esophagus,Fallopian tube,Fat,Gallbladder,Heart,Kidney,Liver,Lung,Lymph node,Ovary,Pancreas,Placenta,Prostate,Rectum,Salivary gland,Small intestine,Smooth muscle,Spleen,Stomach,Testis,Thyroid,Tonsil,Urinary bladder
ENSP00000385477;ENSP00000384554;ENSP00000400612;ENSP00000480623,ENSG00000184113,CLDN5,0,0,0,0,0,0,0,672,6730,0,7491,1910,0,756,2500,0,0,0,0,0,0,2035,2107,0,0,0,0,0,0
ENSP00000480626,ENSG00000019485,PRDM11,0,0,357,0,334,0,614,818,7610,0,483,0,0,0,0,0,0,6519,2469,0,7348,0,1941,1016,0,0,244,0,0
ENSP00000473185;ENSP00000471149;ENSP00000422644;ENSP00000470941;ENSP00000480640,ENSG00000178980,SEPW1,27639,90300,467650,49097,688563,73647,985539,169060,0,120877,347491,138239,37409,11936,65392,185924,242208,34158,28974,374523,126227,198274,575309,112138,225232,0,196620,0,175722
ENSP00000480655;ENSP00000380413,ENSG00000133612,AGAP3,101189,2308,77532,2445,12565,8518,3442,14955,6274,5121,9578,1934,20121,14090,1401,4128,1035,3392,8037,7435,7782,4920,5205,2052,4280,14231,1832,396,3436
ENSP00000318374;ENSP00000478975;ENSP00000478337;ENSP00000480663,ENSG00000167615;ENSG00000274305;ENSG00000276458;ENSG00000276681,LENG8,9861,8567,5413,5521,11101,17387,25235,17494,6655,6164,5468,6743,11092,39921,3676,7193,2321,8279,13882,6299,2391,35414,3642,15237,26216,5246,5335,3360,14409
ENSP00000375080;ENSP00000480675,ENSG00000167393;ENSG00000276438,PPP2R3B,0,0,0,294,0,0,0,1711,0,286,4656,3415,2957,179,0,0,0,0,0,0,0,0,0,0,0,3173,0,0,0
ENSP00000264712;ENSP00000480682;ENSP00000385030,ENSG00000084731,KIF3C,2116,0,8667,550,487,1119,3398,946,0,937,0,0,358271,1740,1227,600,0,0,1877,0,0,1363,62,391,807,2411,0,627,0
ENSP00000369257;ENSP00000480698,ENSG00000103494,RPGRIP1L,1910,4162,1027,3869,7451,741,80348,81176,12378,7033,44207,16125,14904,4144,342,2003,48365,0,26920,1214,0,15363,1988,0,11492,3344,725,7680,2849
ENSP00000385096;ENSP00000384391;ENSP00000480699,ENSG00000100379,KCTD17,0,0,263225,0,0,0,15756,1422,0,0,347,0,0,19464,0,3171,456,0,0,0,0,0,0,0,0,1396,0,0,9230
ENSP00000480707,ENSG00000005243,COPZ2,60127,17009,627,5956,71386,68269,257992,12554,137549,138802,92700,0,39976,125676,25419,62358,117104,35054,98374,70955,11846,10094,97054,12229,5564,86924,28905,4965,21559
ENSP00000480713;ENSP00000312606;ENSP00000361140,ENSG00000117448,AKR1A1,8124571,1497964,3358736,2038527,6114088,2094207,4618839,2696672,1784221,2741977,2266659,12989851,34976379,4841738,977737,1170151,6884065,1756873,5292236,3702163,8198761,5969102,1765449,2526981,4173879,3319405,2493838,1034230,1568509
ENSP00000480717;ENSP00000275521;ENSP00000477772;ENSP00000370473,ENSG00000146674,IGFBP3,73155,242098,10554,52240,144103,81446,72191,36084,1116311,120220,111091,54346,198786,1126060,18619,42991,2787,1159857,99347,161623,9017,189441,69278,28831,150903,59162,107292,1471,171162
ENSP00000390576;ENSP00000480719;ENSP00000469445,ENSG00000183837,PNMA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5552,318,109,0
ENSP00000480722,ENSG00000275074,NUDT18,10225,945,13664,3684,29414,5292,3838,39019,0,28127,10191,3859,2022,16250,11895,12664,2696,6956,10000,9949,12878,26744,4297,2559,28115,79424,6426,6369,9110
ENSP00000480732;ENSP00000354649;ENSP00000478379,ENSG00000102158,MAGT1,406522,42518,11104,148690,149234,21633,124764,87777,121165,149655,212021,25168,347313,544643,19128,20960,131731,171381,145715,157796,410716,160620,91644,61986,236691,36865,285544,69964,216346
ENSP00000365326;ENSP00000480742;ENSP00000299626,ENSG00000159063,ALG8,0,1985,0,882,24183,3959,6100,13515,5396,31899,0,0,51435,22667,4337,0,4304,38780,5895,5682,90220,3915,937,3775,3775,20242,4056,2419,10335
