Protein ID,Gene ID,Gene name,Adrenal gland,Appendix,Brain,Colon,Duodenum,Endometrium,Esophagus,Fallopian tube,Fat,Gallbladder,Heart,Kidney,Liver,Lung,Lymph node,Ovary,Pancreas,Placenta,Prostate,Rectum,Salivary gland,Small intestine,Smooth muscle,Spleen,Stomach,Testis,Thyroid,Tonsil,Urinary bladder
ENSP00000252245,ENSG00000170454,KRT75,0,56370,786,1898,5290,411,7012,0,0,9879,68267,20911,15459,1601,0,332195,3097,7110,1808,4268,0,1458,7317,5171,7483,7261,0,236,0
ENSP00000336604;ENSP00000246635,ENSG00000171401,KRT13,15098,47852,13851,25481,113977,31660,53921359,127494,728370,77300,594559,47758,69781,492667,31198,978535,126178,39855,1204760,65046,165360,33909,41044,199633,22034,30857,4551,16130413,15345978
ENSP00000369349,ENSG00000205426,KRT81,0,1924,0,0,0,0,0,3620,0,0,0,9044,4182,0,0,0,0,5963,0,0,2752,3806,14264,0,19702,6699,0,0,0
ENSP00000342710,ENSG00000189182,KRT77,24471,117177,243,7336,23824,8656,6392,30046,4630,52560,28834,1582,14696,15231,1802,2101121,33115,4528,7715,1555,567,1451,5272,3921,1355,596,52664,181,13585
ENSP00000000233,ENSG00000004059,ARF5,546528,1053639,1259820,1061232,1418222,634573,606870,1063595,521340,532015,277009,515487,1373000,2895968,226268,607205,171115,263523,183216,674083,284683,1847049,231428,295042,1770239,479741,364745,266700,689679
ENSP00000000412,ENSG00000003056,M6PR,156897,787110,123211,164652,450644,204702,67112,76021,318280,214738,83465,107124,452517,366139,133976,179214,123056,111256,101208,173260,76159,264195,60510,464108,260944,520343,114298,39025,204009
ENSP00000001008,ENSG00000004478,FKBP4,1272903,1201227,2282582,1715155,2772761,2750355,1667206,2097355,1314114,1641938,1083631,1774938,3385750,5743963,290853,974275,906288,1495965,3328064,2012580,1328933,2248267,682954,595394,1729381,3708169,976682,314495,1450460
ENSP00000002125,ENSG00000003509,NDUFAF7,37787,3119,31063,16017,60599,26392,49857,10979,17359,75482,289040,43657,147621,91291,5164,13082,21052,11768,13890,142936,14851,40353,13778,9501,12370,37055,46753,1585,11078
ENSP00000002165,ENSG00000001036,FUCA2,108614,103404,13149,22118,113505,11004,13342,24491,55127,83056,23053,13193,116132,45334,5048,12820,69296,124498,124390,36322,14444,55234,8239,6364,56745,39906,190085,4628,19509
ENSP00000003084,ENSG00000001626,CFTR,0,92,477,0,2140,1304,0,3389,68,2819,3092,140,91,88,0,260,97464,0,0,83,22462,760,0,1868,0,30,3518,112,819
ENSP00000003100,ENSG00000001630,CYP51A1,274835,25417,43185,43953,102752,39882,20293,24249,50013,10938,20744,19602,853660,121283,3914,17798,88354,105230,6142,34799,24688,50446,3126,23149,55591,189098,28026,22793,362045
ENSP00000003302,ENSG00000048028,USP28,2260,710,3550,15168,11254,5421,1207,9450,1680,3279,129042,1258,10699,25651,1097,18884,15842,606,4248,2021,2375,17974,2699,3301,5733,4299,2244,1533,3562
ENSP00000003912;ENSP00000363520,ENSG00000001461,NIPAL3,0,0,729,0,0,0,0,0,0,0,2954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSP00000005178,ENSG00000004799,PDK4,54059,3007,3116,15960,35986,0,1089,4405,138611,21955,3873,10127,73232,15596,153,559,29341,12677,4896,50240,7015,140343,1777,4435,18187,837,37446,112,509
ENSP00000005226,ENSG00000006611,USH1C,3059,359,290,44075,305862,636,10146,1132,445481,56229,3873,94547,9,3115,89,77,1178,3595,8432,72049,0,443998,612,0,35178,5211,868,11,44792
ENSP00000005257,ENSG00000006451,RALA,406614,70606,3664438,12000,102534,17935,36887,168157,88847,24677,349170,626097,367070,236826,9535,4883,3065,625014,159286,33082,1139297,240428,144792,99811,118466,4061,313195,139359,28158
ENSP00000005260,ENSG00000006453,BAIAP2L1,26349,12341,1058,79690,387776,32215,18768,74320,7994,112529,21111,14296,32593,213747,9890,29770,60148,86348,115093,131917,80715,312623,3361,54424,385099,23602,30069,3433,44891
ENSP00000005284,ENSG00000006116,CACNG3,0,0,46282,0,0,0,0,194,0,128045,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1892,0,0,1273
ENSP00000005340,ENSG00000004975,DVL2,21975,2360,11011,7034,39363,71664,38468,32422,6486,39430,18033,1364,109210,18422,7312,47790,11868,13819,34332,43118,7226,8712,21863,5121,15587,22477,2965,7117,4978
ENSP00000005386,ENSG00000005175,RPAP3,58216,28807,72233,35395,140206,73385,72413,107561,67368,44451,56080,33603,73784,225134,35825,41359,59320,32998,93848,58958,60148,65283,29147,45050,69599,175584,1283059,36189,55560
ENSP00000005587,ENSG00000005020,SKAP2,61327,195835,496,7017,64474,5017,55257,13271,119649,36059,1577,413,39585,101746,25547,10521,12010,24498,2375,2604,5901,25383,1797,250808,11951,6978,1183,27160,135102
ENSP00000005756;ENSP00000474090,ENSG00000007001,UPP2,0,0,0,0,4942,0,0,7411,0,0,0,0,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSP00000006526,ENSG00000005448,WDR54,29350,5614,40300,1066,19674,42913,67949,327616,4412,60583,669,57690,0,62619,1007,2784,16790,11121,81866,94932,10336,627,51465,0,115254,314697,17078,140,28830
ENSP00000376544;ENSP00000006750,ENSG00000007312,CD79B,0,19800,0,0,0,0,0,0,0,0,1057,0,0,4263,23113,0,0,0,5161,0,0,3601,10029,52690,1339,0,0,57552,4558
ENSP00000006777,ENSG00000005486,RHBDD2,70994,1573,75662,8625,33460,3274,0,10656,2147,9932,7279,41219,22350,39093,9414,6257,5457,13863,14794,10120,9096,25293,1526,1521,30711,5449,27392,1609,2305
ENSP00000007390,ENSG00000007520,TSR3,1018,1844,4700,734,2694,0,816,721,0,0,388,876,8043,18863,110,0,0,0,0,3147,0,7059,179,658,7965,1672,250,2065,652
ENSP00000007699,ENSG00000006047,YBX2,0,0,0,25202,33029,30166,2461,1027,3092,0,2765,0,1597,0,0,0,0,0,0,4074,1690,33752,0,0,0,148092,0,0,0
ENSP00000007722,ENSG00000005884,ITGA3,66516,16593,3540,41418,90158,222981,134801,115174,2932,73427,12238,111428,4003,40093,5083,36191,11707,115254,43764,116753,34957,83897,183532,19049,139993,17415,85932,8249,191163
ENSP00000008527,ENSG00000008405,CRY1,0,0,0,0,0,0,0,0,378,102,5151,0,561,57696,0,0,0,0,0,0,0,0,43,0,444,0,0,0,0
ENSP00000008938,ENSG00000008438,PGLYRP1,33775,278512,609,18174,29323,4291,170588,0,714590,87283,17223,30853,0,21469,1763,15561,3496,37109,100556,82687,12652,35424,2317,435319,27149,0,1938,487,201499
ENSP00000009530,ENSG00000019582,CD74,327893,90176,4882,17775,10520,68098,174270,99538,59559,249855,0,95656,83959,309017,18727,4187,48292,1693,149851,16139,71303,158665,5527,277244,5276,0,0,8757,291609
ENSP00000011292,ENSG00000091704,CPA1,3767,1745,0,53025,1310,47300,125157,14027,87737,11767,3385,38635,76010,81344,30244,53141,79770352,272426,431737,65857,283675,279710,28732,10966,253036,3853,1746,1108,19703
ENSP00000011619,ENSG00000010017,RANBP9,31246,8918,60468,6193,62464,21429,23926,12545,7048,40573,11736,8597,29018,38969,12596,33369,1478,32401,24106,32153,3862,15534,21013,19897,16788,115278,6851,9018,28132
ENSP00000011653,ENSG00000010610,CD4,8916,6768,535,2266,9482,115,0,627,34172,19463,0,0,57210,26243,19329,24163,1536,0,1325,5814,1084,1345,640,22618,1111,6572,0,19124,16604
ENSP00000012049,ENSG00000011478,QPCTL,3464,5481,935,162712,1150536,102998,3875,135,1888,7809,4517,1729,128120,10154,0,930,24573,3414,1936,11411,13089,2846,287,2143,5310,2295,3614,12262,3919
ENSP00000013125,ENSG00000012983,MAP4K5,13701,4732,21593,10484,19343,35907,16561,27740,2859,13255,22257,10216,11801,41651,4168,7964,30558,1259,20146,9113,11882,32691,24363,14839,23042,7247,5014,12802,6703
ENSP00000349428;ENSP00000408096;ENSP00000014112,ENSG00000011304,PTBP1,1476595,150985,1130706,1270657,3105126,1564596,1050898,1498955,461051,1304989,927066,1499959,4708644,2809901,1110092,1350041,458724,2525452,1149697,2140106,2006760,1876649,721172,810945,1133584,1267336,2030857,644737,852746
ENSP00000014914,ENSG00000013588,GPRC5A,0,0,0,310,0,0,0,703,0,0,0,1334,0,38269,0,0,7035,659,0,5381,0,7966,0,0,1403,0,102399,0,0
ENSP00000014930,ENSG00000013583,HEBP1,5205072,1447382,1671847,1431160,10178470,1098243,1610007,1252887,2216644,1534928,2463622,1375134,13236210,1410439,532154,1171550,4512403,1104496,1575167,1602079,1919986,12512632,851438,2611746,1628643,2376583,2980232,153447,1869623
ENSP00000017003,ENSG00000015532,XYLT2,629,87,83,1083,457,364,5885,1386,2136,0,2174,770,23343,5463,99,2161,1220,616,6647,617,1240,145,93,0,3262,732,13112,90,646
ENSP00000019019;ENSP00000326948,ENSG00000068438,FTSJ1,12389,4145,7979,0,11490,11659,13929,18820,8796,3582,2676,5183,6217,38551,5582,14543,0,5561,4585,10385,7915,14289,6425,0,16894,13455,5673,2434,1352
ENSP00000022615,ENSG00000078668,VDAC3,83658,15897,40316,3683,13104,15154,16161,56639,0,0,58376,98084,183046,178920,4513,0,456,31136,119736,2641,30174,87618,44384,169805,38690,0,42603,3432,25183
ENSP00000025301,ENSG00000023516,AKAP11,25074,3854,5713,1210,3486,7005,147706,3947,7613,8963,3242,1553,3964,10152,6423,20169,3376,2457,12097,6055,2157,11447,2716,9655,2929,37702,1186,1781,4229
ENSP00000029410,ENSG00000027847,B4GALT7,594,4219,1837,4645,14793,6612,1104,5846,14414,4431,17734,1450,15345,13721,1137,0,6279,2102,20819,2459,4221,8258,789,2138,11365,25489,160325,634,11800
ENSP00000037243,ENSG00000034713,GABARAPL2,484239,302766,2945962,255680,419345,150773,203898,94879,151227,40465,2227594,217860,756212,272397,73727,18083,71961,92397,154211,266246,170992,348384,17975,92599,124566,812181,192066,85316,143439
ENSP00000037502,ENSG00000034971,MYOC,4332,36343,968,13683,55472,52649,106698,4031,34261,162875,141131,2938,52734,12712,12001,1472,76974,0,10493,184624,20500,445546,5350,8767,446841,605,362,4304,3101
ENSP00000037869,ENSG00000035141,FAM136A,104639,27098,198476,213301,302092,102312,89018,35372,28052,365330,584891,169409,1298666,514184,385106,66746,113096,15325,78531,13207220,153542,235581,42442,19642,753661,262411,775529,62042,179675
ENSP00000038176,ENSG00000035681,NSMAF,4885,7494,1340,3570,5775,3598,15394,5549,730,4970,1679,926,35571,28534,5619,6013,3261,1077,702,6768,10106,4446,6880,19768,4250,6059,805,5323,133
ENSP00000039007,ENSG00000036473,OTC,12674,62561,6061,72021,3935166,3859,259578,2393,189912,82501,127541,8312,27768135,37575,181820,23689,181595,32623,45311,116780,3754,4708382,3768,42867,209368,8749,1900,31819,255960
ENSP00000039989,ENSG00000052841,TTC17,5723,742,1079,1722,10542,8482,6900,4512,3742,4780,5413,1031,10661,5673,2667,1419,15630,7137,2610,4043,11331,8610,1740,1035,1410,29256,40899,296,7200
ENSP00000040584,ENSG00000037965,HOXC8,1529,0,972,0,4970,0,0,0,0,0,0,0,264745,0,90,0,2431,0,0,0,0,0,0,0,0,0,0,0,0
ENSP00000040663,ENSG00000037757,MRI1,184382,206465,181349,258301,197908,352706,652933,197539,235359,259986,379771,616618,3200921,614905,102598,162800,395286,272364,1104663,585009,252353,407383,173789,177545,338422,80615,325804,55358,149199
ENSP00000040738,ENSG00000038219,BOD1L1,22116,28885,7746,24637,22641,36450,26825,36602,8633,16138,67836,7479,7201,70846,16772,35746,13062,13252,10059,15950,8601,33491,18203,23746,22476,20019,7974,7678,13040
ENSP00000040877,ENSG00000059588,TARBP1,2091,2766,33,1524,7263,459,3181,2958,2476,26783,891,2802,38656,31275,1150,2240,5514,3928,1061,2768,9854,19717,140,2290,5629,11367,266,556,2070
ENSP00000368614;ENSP00000042381;ENSP00000400099;ENSP00000389456,ENSG00000039523,FAM65A,9600,5903,15505,13387,6620,15711,10800,15539,13826,12332,28428,14965,12061,14876,4976,6300,21811,20652,9926,6950,3680,23289,20198,27005,21409,3424,6396,2140,6712
ENSP00000043402;ENSP00000396872;ENSP00000403535,ENSG00000040608,RTN4R,0,0,27314,0,0,0,0,0,0,0,0,0,0,1823,0,0,0,0,0,0,0,0,0,0,0,419,44088,0,0
ENSP00000046794,ENSG00000043462,LCP2,60763,116315,3959,19549,58378,20168,48609,14043,53901,44195,4685,11680,76471,215493,68775,5187,18228,24697,8388,14612,15976,87234,7501,210282,30363,12407,30269,77240,67118
ENSP00000053468,ENSG00000048544,MRPS10,173859,1905,78411,52842,577859,53874,202568,87114,47121,17837,413431,133965,271243,169045,40777,35736,48400,40099,64706,117075,114449,92811,12126,18331,38062,71838,41626,21657,29893
ENSP00000053867,ENSG00000030582,GRN,17379,227360,16888,51261,11268,12894,45808,8030,24802,27672,23974,25141,21383,125778,3695,5232,27524,37285,19877,47648,9360,40304,3564,106659,23841,8407,13437,200,74105
ENSP00000054666,ENSG00000049245,VAMP3,178229,60480,358000,227435,621122,480832,346644,130099,209396,489978,2236551,272129,611921,210772,155347,983068,432239,196758,290860,479989,481353,269584,505314,428762,567586,1118445,163552,48786,196635
ENSP00000054950,ENSG00000049449,RCN1,2634946,1217008,1413611,1081840,3225427,2701431,2258900,1439652,2949316,3673531,1453987,449568,6405814,3320526,396940,701558,935583,5065986,4291899,1191097,3081175,2533537,1032749,1087887,1983008,2274557,1610225,214565,4827192
ENSP00000055077,ENSG00000049541,RFC2,49056,40031,28131,156304,121780,61078,52522,90262,52355,35094,24011,34346,39807,384026,22610,36653,112034,45703,31990,57077,17629,198714,39886,96101,30521,115730,4673,51436,40849
ENSP00000055163;ENSP00000344546,ENSG00000049618,ARID1B,9481,7353,20344,12100,71905,11513,4769,22107,4074,4088,12975,3238,4670,18807,41686,9882,7814,7300,21017,38672,12548,71752,8663,115157,73837,17079,13169,4955,8275
ENSP00000055335,ENSG00000049769,PPP1R3F,0,0,16322,0,1600,0,0,18,0,76,10825,0,313,0,776,0,0,0,0,10228,737,708,50,0,0,0,2870,0,268
ENSP00000056217,ENSG00000050327,ARHGEF5,950,1130,2492,15827,19658,2110,1455,10608,13363,3518,13752,9560,771292,170822,934,15582,14216,21339,15652,20752,28149,56248,1960,2093,16415,1826,18890,1397,6699
ENSP00000057513;ENSP00000426613;ENSP00000427106,ENSG00000050730,TNIP3,0,20890,0,0,0,0,0,0,0,0,0,0,0,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0
ENSP00000060969,ENSG00000052723,SIKE1,31581,55594,3432,29736,85678,63051,111763,16473,46091,58138,42449,8627,10696,57241,24585,35504,26417,37246,74530,41697,16946,65979,21330,25145,66065,8465,10798,12368,13400
ENSP00000064724,ENSG00000013297,CLDN11,0,0,1632223,2646,0,672,0,1574,3134,5620,3800,0,0,5716,0,0,0,0,0,0,5413,0,0,6044,0,14502,0,0,0
ENSP00000066544;ENSP00000434614,ENSG00000004897,CDC27,10574,2233,7974,5557,12709,19657,44383,10224,13788,7010,5137,44281,10606,41057,3910,16311,7364,17559,13698,54359,10169,16920,4234,8280,7375,23985,7517,4884,5569
ENSP00000075120,ENSG00000059804,SLC2A3,45989,38396,133115,2367,17869,0,84636,646,73382,23975,5919,2454,3531,93179,18038,19337,8378,165041,8154,16519,8091,7156,2758,176014,4685,119809,0,20184,28474
ENSP00000428291;ENSP00000403315;ENSP00000075322,ENSG00000136960,ENPP2,7786,2626,23402,5425,68174,20887,13219,16451,79120,28799,759,2440,6069,38160,6445,19733,7078,55705,4202,12821,2508,21845,54723,1091,14919,22459,4666,5323,17516
ENSP00000075503,ENSG00000060140,STYK1,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,897,0,0,0,0,0,0,0,0,0
ENSP00000078429,ENSG00000088256,GNA11,505800,283493,633532,404014,1363297,386562,753863,601084,394332,423726,1178083,485933,453839,404062,65671,302987,355417,416544,1218246,751116,318292,2199887,583205,202493,1043871,710795,133332,23435,204741
ENSP00000081029,ENSG00000061794,MRPS35,162359,77870,64389,80824,482996,103778,85253,95745,70107,67259,594865,174317,338624,194794,16456,98883,39245,51305,86296,168070,108662,266457,33440,12543,93836,126439,22659,29253,48582
ENSP00000083182,ENSG00000062725,APPBP2,6274,0,17153,1668,7510,228,0,1355,0,562,0,1137,602,2877,369,1055,1717,6384,133,6572,205,1323,1529,1148,731,21079,1222,139,494
ENSP00000084798,ENSG00000063180,CA11,298,0,13619,0,0,0,0,0,0,0,0,0,0,2531,0,10017,0,0,0,0,0,0,0,0,0,0,2906,0,0
ENSP00000270460;ENSP00000406209;ENSP00000085079,ENSG00000063245,EPN1,296871,116453,703700,127621,354768,142608,172683,174049,424261,260759,521188,221410,606520,334953,62719,77082,259997,204203,383468,127195,143517,517168,128439,342020,237274,250929,108083,41211,109489
ENSP00000085219,ENSG00000012124,CD22,2448,13410,9622,0,3164,5170,218,879,20309,1827,44420,110,0,2504,53421,377,0,231,0,112,1022,0,508,40198,3348,2160,0,30771,1328
ENSP00000155674;ENSP00000337358,ENSG00000069998,CECR5,462649,98315,543372,554860,523452,44066,182350,105703,145773,247207,1346877,234305,1087826,714691,58067,137106,36246,73298,86860,221942,354409,595681,67135,106703,309087,224341,248648,63213,137011
ENSP00000156109,ENSG00000068394,GPKOW,94207,55412,59439,45299,124170,31342,49156,69411,20292,76440,30040,46060,134762,197236,26081,83426,26430,69963,56135,66990,34558,147392,50959,25109,90729,99827,29249,43711,30380
ENSP00000156471,ENSG00000021776,AQR,55700,50031,20483,83951,82093,53230,31527,68992,17525,26805,31370,20296,57375,146746,18698,46501,51839,47618,72769,313256,20227,82646,26338,23082,61940,98496,25515,18748,32124
ENSP00000156626,ENSG00000070526,ST6GALNAC1,0,5328,2109,221700,158177,44844,81061,30762,68372,81998,12792,0,161,924,25583,0,4726,0,8901,328990,20187,140136,2074,8938,133619,18275,32,0,53639
ENSP00000412302;ENSP00000156825,ENSG00000071655,MBD3,32475,2587,60944,7906,30653,44575,14028,12215,12464,13072,8429,1586,15510,20100,10923,80546,10684,21267,9782,22842,3855,18451,15625,3826,29564,71326,7208,15732,5989
ENSP00000157600,ENSG00000071282,LMCD1,120426,290658,99516,356439,444517,1535436,1322034,516213,655319,2814758,1098700,322400,97204,1222985,230986,375376,221998,1039315,601558,288856,464170,556212,1973109,1019716,299373,367329,34719,36413,938252
ENSP00000158762,ENSG00000072818,ACAP1,12904,74430,1729,16279,57428,7232,21274,10350,29208,127298,8372,1240,3271,104015,179565,59947,997,1147,11997,16316,1504,81586,8174,194812,14483,8106,1259,116761,69503
ENSP00000158771,ENSG00000072849,DERL2,46166,10369,4281,25755,283034,226488,870463,61656,2020111,1387049,49934,24987,150527,39057,13439,66416,134081,37934,71489,61570,97568,76211,2858,15235,35170,1097085,23846,17247,85978
ENSP00000159087,ENSG00000074855,ANO8,11799,916,8743,52,181,1620,9628,2494,52211,529,366,1459,0,7066,32,8267,2346,2319,2313,1646,0,306,0,99,1710,193,301,0,538
ENSP00000159111;ENSP00000440495;ENSP00000480642,ENSG00000127663,KDM4B,30428,25684,2167,0,22176,1231,0,2293,128,56439,2369,0,97,9123,14482,7104,4551,4998,0,169,10228,1981,272,0,0,5073,495,11042,34488
ENSP00000159647;ENSP00000379183,ENSG00000073150,PANX2,0,0,0,0,0,14859,0,937,0,737,0,0,0,4748,0,0,0,2483,0,0,0,0,0,0,0,0,0,0,0
ENSP00000160262,ENSG00000076662,ICAM3,26979,137861,88,23043,28165,15818,902063,240021,80890,26988,24925,173466,4941,147644,85809,6577,7003,9787,3289,225795,8490,103696,667,261828,30251,11239,255,31103,184941
ENSP00000160298,ENSG00000076826,CAMSAP3,9702,865,73577,22559,64493,2312,3930,23309,1652,32516,3155,28640,54213,41245,395,2281,93179,13449,33896,14616,69377,63231,564,2128,27845,49541,17820,1602,2953
ENSP00000160373,ENSG00000077063,CTTNBP2,4201,13096,25419,1306,343,1788,917,1382,0,7192,0,658,532,1721,383,0,7605,487,966,1054,99,611,2451,1342,2712,637,760,19,2920
ENSP00000160382,ENSG00000077080,ACTL6B,5682,4788,81542,0,7415,0,9517,0,0,0,0,3494,0,0,0,0,0,17186,3386,7950,0,382,0,0,1049,27203,3130,499,0
ENSP00000160827,ENSG00000079616,KIF22,343,180,1612,1374,3902,430,0,414,12099,0,0,0,6270,9578,1026,4069,0,866,0,1177,0,3029,5968,0,0,16299,0,2033,137
ENSP00000161559,ENSG00000079385,CEACAM1,7524,78122,0,8377,16227,3305,3116,3914,31456,542,6165,23863,37640,4986,520,120,0,55874,6615,23311,26663,27423,218464,6698,9202,0,0,1149,5920
ENSP00000161863,ENSG00000047188,YTHDC2,10176,27380,2970,7048,23943,1619,9319,5201,6256,4081,9135,3684,31587,25891,4486,10344,13050,6913,15534,29734,9246,12694,2469,995,28854,25139,3725,4821,1832
ENSP00000162749,ENSG00000067182,TNFRSF1A,966,104945,0,256,4436,461,0,0,0,1793,0,0,5088,15321,0,0,4691,8301,0,1235,0,751,1694,1804,594,0,0,0,49765
ENSP00000163416,ENSG00000066455,GOLGA5,92476,26909,33660,71679,105172,60430,169308,65263,87405,69280,92578,25039,211473,150835,19308,35321,103271,155883,165342,74962,177311,123904,18643,33649,221949,212020,73024,15263,58440
ENSP00000164133,ENSG00000068971,PPP2R5B,14089,825,45192,4588,63426,13876,24176,10505,1862,61545,26248,5390,8360,6153,10093,7516,24563,4174,23679,33522,7074,6883,17609,74941,9595,18044,3367,5558,58020
ENSP00000164139,ENSG00000068976,PYGM,119881,129435,765343,33320,171553,256194,1265394,88728,175407,144126,3793823,35721,22359,10116,12908,408679,52839,49190,418207,614683,17263,29629,127648,13832,104383,319292,127648,36013,35285
ENSP00000164227,ENSG00000069399,BCL3,882,6545,0,1813,23460,0,13579,819,1486,1127,0,0,6048,18468,1576,6203,0,1430,0,4471,1324,6920,1350,0,3689,0,43,2139,12163
ENSP00000438963;ENSP00000164305,ENSG00000069943,PIGB,2472,7750,0,3888,585,5579,0,37,0,0,7826,1226,14157,7033,0,3329,620806,1863,3255,12842,6895,4989,1552,8109,12862,441,2918,0,28312
ENSP00000164640;ENSP00000377355,ENSG00000067840,PDZD4,428,46,140225,0,1058,3366,0,10355,0,0,4924,0,0,4317,137,8140,0,0,536,6062,0,12157,1211,0,0,1881,469,0,6808
ENSP00000166139,ENSG00000070404,FSTL3,0,0,0,0,0,0,3134,0,43763,1007,40535,0,0,25562,0,0,0,98807,11514,0,0,0,0,0,0,118143,6145,0,0
ENSP00000166345,ENSG00000071539,TRIP13,805,0,0,16793,2421,2572,0,59682,0,349,18284,6388,0,195826,12936,0,5078,6325,3668,6590,0,54325,1487,0,2829,306540,0,7949,30721
ENSP00000167586,ENSG00000186847,KRT14,1171576,3961216,143769,2591965,2449913,393216,38634533,4785696,1766280,8794653,617095,1607472,408117,12290929,75193,49451316,4160805,8917843,4268437,4271985,20376463,4966422,1719275,109945,7441498,61790,771029,11422254,20115363
ENSP00000168216,ENSG00000072506,HSD17B10,7053979,1397852,6683061,3315678,8824849,3593483,5854905,2922288,4754556,3767647,17279653,9278297,31602696,7039741,2143798,3158340,3321299,2583243,4193333,7128738,5110071,5047787,1425493,3210055,4215716,4433223,7170511,888773,2961973
ENSP00000169551,ENSG00000075336,TIMM21,106201,19016,48936,90065,156076,17149,87516,68786,101860,22314,1874305,99446,77099,122610,8031,62479,32245,11748,36905,22239,53415,82092,12508,16861,50109,80206,37848,6911,40037
ENSP00000170150,ENSG00000078898,BPIFB2,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,2812,789,0,0,0,1492839,0,0,0,0,0,573,0,0
ENSP00000170168,ENSG00000079313,REXO1,1408,0,0,86,321,0,69,106,0,0,0,0,0,1658,0,387,0,0,0,144,0,0,0,515,0,2190,15,212,0
ENSP00000170564,ENSG00000076650,GPATCH1,2732,809,195,533,11373,1890,5202,2025,2323,8241,3597,1417,10344,19812,98,115,1421,5535,1376,130,1578,9683,1305,2624,2127,7041,300,2471,6544
ENSP00000171887,ENSG00000079308,TNS1,1320299,599418,99370,463343,2390175,2603520,4073182,520006,1980785,2126342,2173991,1021881,622156,355429,322746,322261,270604,572232,3927405,3732551,619854,580921,3269873,520208,1607209,1393212,210881,28533,628181
ENSP00000172229,ENSG00000064300,NGFR,219541,25722,7668,43954,61243,45892,40437,12164,225096,467370,123193,7818,112164,14641,35920,6519,8236,39549,41326,67331,138344,21903,170647,149958,36222,298539,144,5660,17453
ENSP00000173229,ENSG00000065320,NTN1,1404,627,32344,9608,40479,9013,61401,94206,447,47946,16132,0,11718,6148,0,804,885,0,385,9379,5908,5568,0,0,8659,1072,0,0,1695
ENSP00000173527,ENSG00000066583,ISOC1,1194543,214005,453667,442778,1801193,4803287,3029024,1027244,1154650,427382,4655433,781325,6936296,525069,169635,545350,493275,348111,1136104,1284379,1794129,1028195,4392408,463642,838622,913810,369482,170523,413647
ENSP00000174618,ENSG00000070444,MNT,1710,3915,2185,5888,3807,6116,8364,8799,766,2019,3628,0,2162,18509,7579,8379,4189,1554,2369,6115,0,2179,996,271,4422,6575,1356,822,10
ENSP00000175756,ENSG00000072135,PTPN18,133,17659,174,7900,307,868,0,0,7971,560,269,0,27037,5408,0,949,0,609,0,27880,4699,13929,104,130273,0,0,1285,3324,5948
ENSP00000176763,ENSG00000072786,STK10,83585,304783,31400,73868,116906,47000,72170,27768,127682,116187,39060,14904,133167,274358,180664,60918,30700,126703,36332,53236,22510,224574,13600,308088,61588,197137,8510,82217,153617
ENSP00000177694,ENSG00000073861,TBX21,646,0,0,350,1349,0,0,631,1172,446,0,0,249,1370,2464,0,0,158,0,0,383,1473,0,2588,0,0,0,228,337
ENSP00000178640,ENSG00000137764,MAP2K5,10278,7008,14998,6889,3595,9222,4739,7369,5026,9924,20365,24832,13405,30704,2057,4818,0,843,22142,12993,8846,9254,7803,11469,5157,20166,2142,1320,1842
ENSP00000179259,ENSG00000078237,TIGAR,104321,24585,284753,15194,169541,48898,173225,20963,45230,81022,125512,26319,44765,207916,36186,42796,52211,135047,45116,113434,31150,69801,69679,40063,66689,134527,31581,45396,82647
ENSP00000180173,ENSG00000003987,MTMR7,1030,0,30653,0,0,554,0,77,0,49187,0,0,5676,0,1123,853,0,0,98262,746,0,0,0,1242,90,1563,425,42,7172
ENSP00000181383,ENSG00000080618,CPB2,220190,189142,15797,109131,81098,159975,185088,96893,1596583,629810,143991,142050,181518,80772,35431,105402,30607,1716794,246804,122807,38296,57317,183062,112032,232211,135772,33559,2023,185725
ENSP00000181839,ENSG00000065883,CDK13,1582,73047,1989,2617,3451,4998,73338,6571,18691,1909,5963,1502,8621,8734,4355,2054,0,3958,21907,7291,3584,11825,899,4130,5022,981,2889,1158,2261
ENSP00000182527,ENSG00000065308,TRAM2,0,0,0,228,20581,646,6728,224,735,6888,0,0,21881,2570,2103,1302,0,15005,0,1597,1660,1251,0,0,591,840,0,518,3425
ENSP00000184266,ENSG00000065518,NDUFB4,2459063,184026,1482583,802983,2971725,619184,784983,663428,1049601,913044,16486408,2571928,1228451,1387066,236449,673586,963570,577783,1374430,2058646,2220023,1730863,385643,630516,929087,606840,86644,284421,766070
ENSP00000184956,ENSG00000068097,HEATR6,4861,636,9228,2257,3421,12811,4894,6323,2681,9476,6341,1250,2618,14084,217,6842,1892,5023,2916,11696,1432,3770,3249,2144,3471,8399,1340,308,1692
ENSP00000185150,ENSG00000068912,ERLEC1,181685,77697,210813,54254,259453,155776,296704,115755,192034,223025,556067,52995,241976,725755,31588,75000,726473,610532,111515,126653,150034,162124,100290,72446,215128,179874,271835,46547,125002
